품목코드,품명,사출창고,분리창고,검사접착,누수규격,완제품,불용재고
P0013A-08.50,1-Day_Contakt,0,0,0,0,660,0
P0013A-09.00,1-Day_Contakt,0,0,0,0,1500,0
P0013A-09.50,1-Day_Contakt,0,0,0,0,1515,0
P0013A-10.00,1-Day_Contakt,0,0,0,0,1550,0
P0013A-10.50,1-Day_Contakt,0,0,0,0,1650,0
P0013A-11.00,1-Day_Contakt,0,0,0,0,1625,0
P0013A-11.50,1-Day_Contakt,0,0,0,0,1480,0
P0013A-12.00,1-Day_Contakt,0,0,0,0,1360,0
P0018A+00.50,1-Day_Contakt(유효기간_8년),0,0,0,0,2085,0
P0018A+00.75,1-Day_Contakt(유효기간_8년),0,0,0,0,1120,0
P0018A+01.00,1-Day_Contakt(유효기간_8년),0,0,0,0,425,0
P0018A+01.25,1-Day_Contakt(유효기간_8년),0,0,0,0,1835,0
P0018A+01.50,1-Day_Contakt(유효기간_8년),0,0,0,0,1580,0
P0018A+01.75,1-Day_Contakt(유효기간_8년),0,0,0,0,1045,0
P0018A+02.00,1-Day_Contakt(유효기간_8년),0,0,0,0,2580,0
P0018A+02.25,1-Day_Contakt(유효기간_8년),0,0,0,0,1360,0
P0018A+02.50,1-Day_Contakt(유효기간_8년),0,0,0,0,2650,0
P0018A+02.75,1-Day_Contakt(유효기간_8년),0,0,0,0,645,0
P0018A+03.00,1-Day_Contakt(유효기간_8년),0,0,0,0,155,0
P0018A+03.25,1-Day_Contakt(유효기간_8년),0,0,0,0,2790,0
P0018A+03.50,1-Day_Contakt(유효기간_8년),0,0,0,0,2710,0
P0018A+03.75,1-Day_Contakt(유효기간_8년),0,0,0,0,225,0
P0018A+04.00,1-Day_Contakt(유효기간_8년),0,0,0,0,585,0
P0018A+04.50,1-Day_Contakt(유효기간_8년),0,0,0,0,980,0
P0018A+05.00,1-Day_Contakt(유효기간_8년),0,0,0,0,500,0
P0018A+05.50,1-Day_Contakt(유효기간_8년),0,0,0,0,940,0
P0018A+06.00,1-Day_Contakt(유효기간_8년),0,0,0,0,1440,0
P0018A-00.25,1-Day_Contakt(유효기간_8년),0,0,0,0,1580,0
P0018A-00.50,1-Day_Contakt(유효기간_8년),0,0,0,0,1240,0
P0018A-00.75,1-Day_Contakt(유효기간_8년),0,0,0,0,1070,0
P0018A-01.00,1-Day_Contakt(유효기간_8년),0,0,0,0,1045,0
P0018A-01.25,1-Day_Contakt(유효기간_8년),0,0,0,0,1880,0
P0018A-01.50,1-Day_Contakt(유효기간_8년),0,0,0,0,1645,0
P0018A-01.75,1-Day_Contakt(유효기간_8년),0,0,0,0,1350,0
P0018A-02.00,1-Day_Contakt(유효기간_8년),0,0,0,0,1275,0
P0018A-02.25,1-Day_Contakt(유효기간_8년),0,0,0,0,1215,0
P0018A-02.50,1-Day_Contakt(유효기간_8년),0,0,0,0,920,0
P0018A-02.75,1-Day_Contakt(유효기간_8년),0,0,0,0,2680,0
P0018A-03.00,1-Day_Contakt(유효기간_8년),0,0,0,0,1115,0
P0018A-03.25,1-Day_Contakt(유효기간_8년),0,0,0,0,1850,0
P0018A-03.50,1-Day_Contakt(유효기간_8년),0,0,0,0,2245,0
P0018A-03.75,1-Day_Contakt(유효기간_8년),0,0,0,0,950,0
P0018A-04.00,1-Day_Contakt(유효기간_8년),0,0,0,0,2385,0
P0018A-04.25,1-Day_Contakt(유효기간_8년),0,0,0,0,1400,0
P0018A-04.50,1-Day_Contakt(유효기간_8년),0,0,0,0,2700,0
P0018A-04.75,1-Day_Contakt(유효기간_8년),0,0,0,0,1165,0
P0018A-05.00,1-Day_Contakt(유효기간_8년),0,0,0,0,2645,0
P0018A-05.25,1-Day_Contakt(유효기간_8년),0,0,0,0,1375,0
P0018A-05.50,1-Day_Contakt(유효기간_8년),0,0,0,0,2160,0
P0018A-05.75,1-Day_Contakt(유효기간_8년),0,0,0,0,1905,0
P0018A-06.00,1-Day_Contakt(유효기간_8년),0,0,0,0,2445,0
P0018A-06.50,1-Day_Contakt(유효기간_8년),0,0,0,0,1545,0
P0018A-07.00,1-Day_Contakt(유효기간_8년),0,0,0,0,2330,0
P0018A-07.50,1-Day_Contakt(유효기간_8년),0,0,0,0,1795,0
P0018A-08.00,1-Day_Contakt(유효기간_8년),0,0,0,0,1280,0
P0018A-08.50,1-Day_Contakt(유효기간_8년),0,0,0,0,1910,0
P0018A-09.00,1-Day_Contakt(유효기간_8년),0,0,0,0,1270,0
P0018A-09.50,1-Day_Contakt(유효기간_8년),0,0,0,0,860,0
P0018A-10.00,1-Day_Contakt(유효기간_8년),0,0,0,0,1160,0
P0018A-10.50,1-Day_Contakt(유효기간_8년),0,0,0,0,960,0
P0018A-11.00,1-Day_Contakt(유효기간_8년),0,0,0,0,200,0
P0018A-11.50,1-Day_Contakt(유효기간_8년),0,0,0,0,905,0
P0018A-12.00,1-Day_Contakt(유효기간_8년),0,0,0,0,1575,0
P0019A-00.00SGR,1-Day_iris_Suzy Gray,0,0,0,0,41010,0
P0019A-00.50SGR,1-Day_iris_Suzy Gray,0,0,0,0,1865,0
P0019A-00.75SGR,1-Day_iris_Suzy Gray,0,0,0,0,5760,0
P0019A-01.00SGR,1-Day_iris_Suzy Gray,0,0,0,0,25630,0
P0019A-01.25SGR,1-Day_iris_Suzy Gray,0,0,0,0,30020,0
