생산일자,판매코드,판매명,품목코드,제품명,실적수량,수주번호,이니셜,구분
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,150,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,270,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,"1,410",202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,990,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,930,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,"1,410",202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,600,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,570,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,600,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,480,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,480,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,420,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,300,202601050001.0,,국내
2026-01-28,S615-05.50,Clalen O2O2 D_Sepia Choco EX_30P,P3405A-05.50SPC,O2O2 D_Sepia Choco EX,240,202601050001.0,,국내
